company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ABB,2012.0,8.77,12.22,34.9,0.0,,1.82,42.0,59.0,68.0,1657.0,25.0,0.0,101.0,,,,55.06
ABB,2014.0,8.7,11.73,34.9,0.0,,2.0,11.0,144.0,93.0,1657.0,25.0,0.0,155.0,,,,55.49
ABB,2015.0,10.0,13.63,34.9,0.0,,1.67,28.0,187.0,108.0,1657.0,29.0,0.0,215.0,,,,56.1
ABB,2016.0,9.76,13.96,34.9,0.0,138.33,1.62,172.0,77.0,120.0,1657.0,29.0,0.0,249.0,,,,55.71
ABB,2017.0,9.54,13.71,34.9,0.0,227.5,1.41,152.0,155.0,130.0,1657.0,31.0,0.0,307.0,11.92,13.82,13.84,69.09
ABB,2018.0,12.16,15.92,34.9,0.0,160.5,1.37,-62.0,215.0,189.0,1657.0,29.0,0.0,153.0,,,,57.33
ABB,2019.0,12.23,16.44,34.9,0.0,359.0,1.25,242.0,257.0,212.0,1657.0,31.0,0.0,499.0,10.08,17.84,17.92,68.41
ABB,2020.0,14.49,18.49,34.9,0.07,96.78,1.15,225.0,401.0,279.0,1657.0,90.0,175.0,626.0,12.33,20.96,20.9,73.47
ABB,2021.0,16.03,21.39,34.9,0.06,55.72,1.12,655.0,72.0,325.0,1657.0,85.0,153.0,727.0,10.52,22.06,22.05,72.51
ABB,2022.0,16.26,22.02,34.9,0.05,61.32,1.16,552.0,396.0,376.0,1657.0,73.0,152.0,948.0,11.1,23.6,23.67,74.02
ABB,2023.0,17.74,22.55,34.9,0.04,85.0,1.17,745.0,148.0,447.0,1657.0,73.0,113.0,893.0,10.16,18.8,18.79,73.81
ABB,2024.0,20.53,24.84,34.9,0.02,141.75,1.13,797.0,416.0,565.0,1657.0,73.0,83.0,1213.0,9.72,21.69,21.66,73.92
ADANIENSOL,2014.0,,,8.59,0.0,,,0.0,0.0,0.0,175.0,,0.0,0.0,,,,3.66
ADANIENSOL,2015.0,-5.34,77.1,8.59,8.96,1.42,0.01,-1899.0,1864.0,0.0,175.0,0.0,9701.0,-35.0,,,,4.4
ADANIENSOL,2016.0,16.77,87.83,8.59,3.21,2.09,0.19,728.0,816.0,3.0,175.0,0.0,8585.0,1544.0,,,,27.2
ADANIENSOL,2017.0,14.46,68.95,8.59,3.05,2.22,0.22,459.0,1730.0,4.0,175.0,0.0,8975.0,2189.0,,,,25.12
ADANIENSOL,2018.0,28.98,71.65,8.59,1.72,3.31,0.23,-994.0,3192.0,10.0,175.0,0.0,10428.0,2198.0,,,,32.85
ADANIENSOL,2019.0,7.65,38.03,8.59,2.5,2.24,0.22,-459.0,3050.0,5.0,175.0,0.0,20137.0,2591.0,,,,17.67
ADANIENSOL,2020.0,6.18,37.3,8.59,2.85,2.02,0.29,-206.0,5643.0,7.0,175.0,0.0,24246.0,5437.0,144.37,,,42.16
ADANIENSOL,2021.0,13.0,39.79,8.59,3.04,2.39,0.23,-225.0,4009.0,11.0,175.0,0.0,27095.0,3784.0,35.24,28.51,29.67,48.42
ADANIENSOL,2022.0,10.98,37.36,8.59,3.02,2.32,0.24,161.0,3936.0,11.0,175.0,0.0,29902.0,4097.0,31.38,24.33,22.42,45.91
ADANIENSOL,2023.0,9.64,33.99,8.59,2.92,2.19,0.25,-922.0,4699.0,11.0,175.0,0.0,34270.0,3777.0,27.51,2.31,1.92,44.37
ADANIENSOL,2024.0,7.2,34.39,8.59,2.93,2.28,0.28,1095.0,4943.0,10.0,175.0,0.0,37070.0,6038.0,17.85,16.43,14.87,38.74
ADANIENT,2013.0,2.63,12.98,13.64,3.24,2.23,0.41,-7124.0,14790.0,15.0,363.0,10.0,69332.0,7666.0,,,,21.26
ADANIENT,2014.0,4.82,17.08,13.64,3.03,1.85,0.47,221.0,8007.0,20.0,363.0,7.0,71980.0,8228.0,,,,24.27
ADANIENT,2015.0,3.56,19.31,13.64,3.25,1.88,0.49,-2933.0,11465.0,18.0,363.0,8.0,83571.0,8532.0,,,,22.99
ADANIENT,2016.0,2.94,4.95,13.64,1.43,2.01,0.82,3287.0,1825.0,9.0,363.0,4.0,19169.0,5112.0,,,,26.01
ADANIENT,2017.0,2.53,5.21,13.64,1.47,2.11,0.77,-686.0,1460.0,9.0,363.0,4.0,20846.0,774.0,,,,25.0
ADANIENT,2018.0,1.65,5.67,13.64,1.17,1.92,0.64,-4707.0,7649.0,7.0,363.0,6.0,17637.0,2942.0,-4.98,-13.38,-14.14,22.91
ADANIENT,2019.0,1.25,4.88,13.64,0.76,1.52,0.95,5723.0,2487.0,7.0,363.0,6.0,11243.0,3236.0,-5.98,-28.17,-18.94,26.37
ADANIENT,2020.0,2.4,5.29,13.64,0.73,2.01,0.93,1372.0,1082.0,10.0,363.0,10.0,12419.0,2454.0,-7.61,-14.66,-11.09,26.89
ADANIENT,2021.0,2.65,6.34,13.64,0.95,2.18,0.77,-4568.0,8611.0,8.0,363.0,12.0,16227.0,4043.0,3.06,0.9,-2.33,28.86
ADANIENT,2022.0,1.14,5.35,13.64,1.87,1.87,0.68,-15656.0,17041.0,7.0,363.0,14.0,41604.0,1385.0,13.7,-3.16,-4.9,39.15
ADANIENT,2023.0,1.9,6.91,13.64,1.61,2.43,0.9,2167.0,15459.0,22.0,363.0,6.0,53200.0,17626.0,28.84,32.46,25.74,50.01
ADANIENT,2024.0,3.46,11.8,13.64,1.67,2.75,0.6,-8455.0,18767.0,28.0,363.0,5.0,65310.0,10312.0,19.02,45.81,31.95,45.04
ADANIGREEN,2017.0,-9.36,80.28,14.7,3.61,1.45,0.08,-1483.0,1511.0,0.0,67.0,0.0,4347.0,28.0,,,,14.66
ADANIGREEN,2018.0,-9.32,56.96,14.7,7.36,1.6,0.09,-3779.0,4428.0,-1.0,67.0,0.0,9864.0,649.0,,,,15.27
ADANIGREEN,2019.0,-23.08,74.15,14.7,5.76,1.43,0.14,-1041.0,2666.0,-3.0,67.0,0.0,11142.0,1625.0,,,,16.53
ADANIGREEN,2020.0,-2.67,56.89,14.7,6.31,1.35,0.14,-1778.0,3743.0,0.0,67.0,0.0,14866.0,1965.0,,,,17.4
ADANIGREEN,2021.0,5.83,71.73,14.7,11.0,1.35,0.11,-7536.0,9137.0,1.0,67.0,0.0,24209.0,1601.0,,,,22.08
ADANIGREEN,2022.0,9.53,68.42,14.7,20.21,1.54,0.09,-15603.0,18730.0,3.0,67.0,0.0,52832.0,3127.0,59.2,,,50.37
ADANIGREEN,2023.0,12.51,63.91,14.7,7.42,1.94,0.12,3408.0,3857.0,6.0,67.0,0.0,54223.0,7265.0,39.35,,,54.56
ADANIGREEN,2024.0,13.67,79.37,14.7,6.6,1.71,0.1,-13347.0,21060.0,7.0,67.0,0.0,64858.0,7713.0,34.98,,,54.76
ADANIPORTS,2013.0,45.82,66.59,18.1,1.82,5.03,0.17,-3757.0,5136.0,8.0,265.0,12.0,11620.0,1379.0,,,,47.31
ADANIPORTS,2014.0,36.05,60.43,18.1,1.48,3.69,0.2,-1378.0,2510.0,8.0,265.0,12.0,12979.0,1132.0,,,,47.42
ADANIPORTS,2015.0,37.78,63.43,18.1,1.65,3.9,0.19,572.0,2485.0,11.0,265.0,10.0,17776.0,3057.0,,,,47.33
ADANIPORTS,2016.0,40.17,64.38,18.1,1.65,4.72,0.19,-1772.0,4153.0,14.0,265.0,8.0,22342.0,2381.0,,,,47.37
ADANIPORTS,2017.0,46.24,64.2,18.1,1.27,5.78,0.19,1434.0,2629.0,19.0,265.0,7.0,22214.0,4063.0,,,,47.62
ADANIPORTS,2018.0,32.59,63.21,18.1,1.07,5.07,0.24,1762.0,3846.0,18.0,265.0,11.0,22370.0,5608.0,25.92,17.62,17.61,71.51
ADANIPORTS,2019.0,37.03,60.38,18.1,1.14,5.69,0.19,1661.0,4368.0,19.0,265.0,1.0,27712.0,6029.0,17.73,18.37,18.89,67.85
ADANIPORTS,2020.0,31.88,50.09,18.1,1.19,4.04,0.19,6653.0,749.0,19.0,265.0,17.0,30242.0,7402.0,14.05,10.25,11.55,63.97
ADANIPORTS,2021.0,40.23,69.23,18.1,1.18,4.73,0.17,-6508.0,14064.0,25.0,265.0,20.0,35855.0,7556.0,12.04,12.07,12.3,61.66
ADANIPORTS,2022.0,28.93,55.66,18.1,1.15,4.47,0.17,4927.0,5493.0,23.0,265.0,22.0,47935.0,10420.0,15.2,4.89,3.9,64.69
ADANIPORTS,2023.0,25.85,52.5,18.1,1.18,4.77,0.19,-4816.0,16716.0,25.0,265.0,20.0,53434.0,11900.0,12.99,7.88,6.79,61.5
ADANIPORTS,2024.0,30.34,58.36,18.1,0.94,5.95,0.23,8250.0,6768.0,38.0,265.0,16.0,49470.0,15018.0,19.58,14.91,14.87,69.18
ADANIPOWER,2013.0,-34.29,14.35,57.1,9.74,0.69,0.12,-1063.0,4064.0,-10.0,145.0,0.0,41795.0,3001.0,,,,32.86
ADANIPOWER,2014.0,-1.9,29.96,57.1,6.75,1.14,0.26,-1462.0,4700.0,-1.0,145.0,0.0,44150.0,3238.0,,,,36.36
ADANIPOWER,2015.0,-4.37,25.04,57.1,7.82,1.21,0.32,1087.0,4737.0,-3.0,145.0,0.0,44742.0,5824.0,,,,37.17
ADANIPOWER,2016.0,2.17,34.68,57.1,7.06,1.55,0.33,2565.0,2692.0,2.0,145.0,0.0,52729.0,5257.0,,,,39.44
ADANIPOWER,2017.0,-27.3,26.44,57.1,17.49,0.39,0.32,3513.0,1212.0,-16.0,145.0,0.0,52484.0,4725.0,,,,36.49
ADANIPOWER,2018.0,-10.36,26.77,57.1,59.43,1.11,0.29,4581.0,520.0,-5.0,145.0,0.0,52835.0,5101.0,24.85,,,59.85
ADANIPOWER,2019.0,-4.12,20.86,57.1,6.09,1.31,0.35,4626.0,984.0,-3.0,145.0,0.0,46980.0,5610.0,9.28,,,48.3
ADANIPOWER,2020.0,-8.6,21.66,57.1,8.52,1.14,0.35,3294.0,2304.0,-6.0,145.0,0.0,55199.0,5598.0,7.21,,,45.25
ADANIPOWER,2021.0,4.84,33.13,57.1,4.01,2.08,0.33,4826.0,2188.0,3.0,145.0,0.0,52519.0,7014.0,0.66,18.18,8.45,44.54
ADANIPOWER,2022.0,17.73,35.66,57.1,2.66,3.37,0.34,11007.0,774.0,13.0,145.0,0.0,49145.0,10233.0,4.15,,,60.71
ADANIPOWER,2023.0,27.67,26.04,57.1,1.42,4.29,0.45,9976.0,1545.0,28.0,145.0,0.0,42350.0,8431.0,13.81,,,77.59
ADANIPOWER,2024.0,41.37,36.2,57.1,0.8,8.3,0.55,17651.0,3481.0,54.0,145.0,0.0,34616.0,14170.0,16.09,,,82.26
